sample,intent_name
xin chào nhé,Welcome
ồ chào nhé,Welcome
chào các bác,Welcome
chào bác,Welcome
hey,Welcome
hi,Welcome
hế lô,Welcome
chào anh hôm nay khỏe không,Welcome
chào bác dạo này khỏe chứ,Welcome
chào,Welcome
xin chào,Welcome
chào anh,Welcome
cháu chào bác,Welcome
chào các bạn nhé,Welcome
chào chú,Welcome
xin chào đồng chí,Welcome
chào anh khỏe không,Welcome
chào các bạn nhé,Welcome
ô chào anh nhé,Welcome
xin chào,Welcome
hello,Welcome
chào bạn tôi nhé,Welcome
chào tạm biệt nhé,GoodBye
đi đây,GoodBye
tôi đi nhé,GoodBye
tạm biệt,GoodBye
bye nhé,GoodBye
chào tạm biệt cậu nhé,GoodBye
đi nhé,GoodBye
tớ đi đây,GoodBye
thôi tớ đi đây,GoodBye
tạm biệt chị nhé,GoodBye
chào tôi đi đây,GoodBye
tạm biệt tôi đi đây,GoodBye
goodbye nhé,GoodBye
bai nhé,GoodBye
bai bai nhé,GoodBye
tạm biệt nhé,GoodBye
tạm biệt hẹn gặp lại,GoodBye
hẹn gặp lại,GoodBye
tôi ở hà nội thì mua thuốc chỗ nào,HoiDiemBanThuoc
tôi ở cầu giấy thì mua thuốc ở đâu,HoiDiemBanThuoc
chỗ nào bán thuốc nhỉ,HoiDiemBanThuoc
chỗ nào bán thuốc ấy nhỉ,HoiDiemBanThuoc
thuốc bán ở đâu mô,HoiDiemBanThuoc
mua cái đó ở mô,HoiDiemBanThuoc
cửa hàng chỗ nào nhỉ,HoiDiemBanThuoc
chỗ nào thì mua được thuốc nhỉ,HoiDiemBanThuoc
có chỗ nào bán thuốc gần nhất nhỉ,HoiDiemBanThuoc
cho tôi hỏi chỗ nào bán thuốc được nhỉ,HoiDiemBanThuoc
tôi hỏi địa điểm bán thuốc gần nhất chỗ nào nhỉ,HoiDiemBanThuoc
tôi đang ở cầu giấy hà nội thì mua thuốc tràng phục linh chỗ nào,HoiDiemBanThuoc
tôi đang ở minh quán trấn yên yên bái thì mua niệu bảo ở đâu nhỉ,HoiDiemBanThuoc
mua thuốc ở đâu,HoiDiemBanThuoc
chỗ nào bán thuốc nhỉ,HoiDiemBanThuoc
bán thuốc ở đâu nhỉ,HoiDiemBanThuoc
cho hỏi chỗ nào bán thuốc với,HoiDiemBanThuoc
mua thuốc tràng phục linh chỗ nào bây,HoiDiemBanThuoc
cho tôi hỏi cửa hàng bán thuốc chỗ nào nhỉ,HoiDiemBanThuoc
cho tôi hỏi mua thuốc thì mua ở đâu nhỉ,HoiDiemBanThuoc
xin hỏi địa chỉ bán thuốc với,HoiDiemBanThuoc
tôi hỏi địa chỉ bán thuốc được không,HoiDiemBanThuoc
tôi hỏi địa chỉ bán thuốc chỗ nào ấy nhỉ,HoiDiemBanThuoc
chị cho tôi hỏi ở hà nam mua thuốc tràng phục linh chỗ nào,HoiDiemBanThuoc
cho tôi hỏi địa chỉ với chỗ nào bán tràng phục linh ý,HoiDiemBanThuoc
Cho hỏi giá tràng phục linh với,HoiGiaThuoc
tràng phục linh giá bao nhiêu tiền,HoiGiaThuoc
bao nhiêu một hộp tràng phục linh,HoiGiaThuoc
giá tiền vương bảo,HoiGiaThuoc
giá tiền niệu bảo,HoiGiaThuoc
bao nhiêu một hộp niệu bảo thế,HoiGiaThuoc
cho hỏi bao nhiêu một hộp niệu bảo ấy nhỉ,HoiGiaThuoc
cho tôi hỏi giá tiền vương bảo với,HoiGiaThuoc
cho tôi hỏi giá tiền nhũ đan với,HoiGiaThuoc
bao nhiêu một hộp,HoiGiaThuoc
giá bao nhiêu,HoiGiaThuoc
bao nhiêu,HoiGiaThuoc
giá tiền bao nhiêu,HoiGiaThuoc
bao nhiêu tiền một hộp niệu bảo,HoiGiaThuoc
bao nhiêu tiền một hộp thuốc nhỉ giờ,HoiGiaThuoc
giá cả thế nào,HoiGiaThuoc
cho xin cái giá,HoiGiaThuoc
rổ giá thế nào nhỉ,HoiGiaThuoc
cho tôi hỏi giá thuốc với,HoiGiaThuoc
thuốc giá thế nào,HoiGiaThuoc
cám ơn nhé,SayThank
cám ơn cậu nhé,SayThank
thank you nhé,SayThank
cám ơn nhiều,SayThank
cám ơn rất nhiều,SayThank
không biết phải cám ơn thế nào,SayThank
tốt quá cám ơn cậu,SayThank
cám ơn nhiều lắm lắm,SayThank
cám ơn nhiều lắm ạ,SayThank
cám ơn nhiều,SayThank
many thank,SayThank
à vậy thì cám ơn nhé,SayThank
ôi hay quá cám ơn nhé,SayThank
cám ơn cám ơn,SayThank
cho tôi cám ơn nhiều nhiều nhé,SayThank
ồ cám ơn nhiều nhé,SayThank
cho tôi cám ơn nhé,SayThank
thật sự rất cám ơn,SayThank
cám ơn cậu,SayThank
tôi biết ơn cậu,SayThank
tốt quá cám ơn nhé,SayThank
cám ơn nhiều,SayThank
không biết nói gì hơn cám ơn nhiều,SayThank
thank cậu nhé,SayThank
cám ơn các bác,SayThank
tôi xin cám ơn,SayThank
cho tôi gửi lời cám ơn,SayThank
cám ơn nhiều ạ,SayThank
tôi muốn cám ơn chị nhiều,SayThank
tôi xin chân thành cảm ơn,SayThank
cảm ơn,SayThank
cảm ơn nhiều,SayThank
thật sự cảm ơn,SayThank
cảm ơn nhiều,SayThank
cảm ơn nhé bạn,SayThank
không biết phải cảm ơn thế nào nữa,SayThank
